date,fips,county,tests,cases,recovered,deaths
2021-09-14,19153,Polk,328712,67341,60673,672
2021-09-14,19113,Linn,140571,25698,22338,353
2021-09-14,19163,Scott,103573,22828,21080,261
2021-09-14,19013,Black Hawk,83932,19121,17441,334
2021-09-14,19193,Woodbury,68905,16940,15619,233
2021-09-14,19103,Johnson,97250,16596,15194,90
2021-09-14,19061,Dubuque,65657,14547,13650,218
2021-09-14,19155,Pottawattamie,55225,13058,11775,183
2021-09-14,19049,Dallas,64042,12746,11802,102
2021-09-14,19169,Story,63775,11871,11173,48
2021-09-14,19181,Warren,33050,6859,6070,93
2021-09-14,19187,Webster,24583,6304,5666,102
2021-09-14,19033,Cerro Gordo,29222,6212,5729,102
2021-09-14,19045,Clinton,27317,6200,5684,97
2021-09-14,19057,Des Moines,25358,5944,5118,82
2021-09-14,19139,Muscatine,25672,5781,5044,108
2021-09-14,19127,Marshall,25061,5642,5059,80
2021-09-14,19167,Sioux,18375,5427,5183,75
2021-09-14,19099,Jasper,21850,5165,4651,75
2021-09-14,19111,Lee,19804,5110,4391,78
2021-09-14,19179,Wapello,21933,4993,4433,128
2021-09-14,19021,Buena Vista,17377,4729,4394,42
2021-09-14,19125,Marion,19339,4490,3876,83
2021-09-14,19149,Plymouth,14811,4340,4030,83
2021-09-14,19087,Henry,12945,3399,3113,40
2021-09-14,19105,Jones,11682,3311,3042,58
2021-09-14,19017,Bremer,14391,3253,2963,65
2021-09-14,19047,Crawford,10246,3216,2845,44
2021-09-14,19027,Carroll,12870,3170,2877,53
2021-09-14,19183,Washington,14497,3157,2686,54
2021-09-14,19011,Benton,15159,3126,2675,56
2021-09-14,19015,Boone,16194,3087,2800,36
2021-09-14,19123,Mahaska,12685,2754,2374,53
2021-09-14,19059,Dickinson,11746,2708,2503,46
2021-09-14,19109,Kossuth,9327,2514,2238,71
2021-09-14,19097,Jackson,10740,2460,2269,44
2021-09-14,19041,Clay,9772,2457,2178,29
2021-09-14,19171,Tama,9760,2382,2113,73
2021-09-14,19055,Delaware,9381,2346,2166,43
2021-09-14,19019,Buchanan,11158,2339,2059,38
2021-09-14,19083,Hardin,10172,2308,1975,47
2021-09-14,19145,Page,7511,2216,2004,24
2021-09-14,19031,Cedar,10738,2205,1979,25
2021-09-14,19065,Fayette,10996,2203,1950,45
2021-09-14,19197,Wright,8994,2176,1953,41
2021-09-14,19191,Winneshiek,12003,2159,2007,37
2021-09-14,19079,Hamilton,8979,2117,1924,52
2021-09-14,19141,O'Brien,7533,2117,1982,62
2021-09-14,19085,Harrison,7397,1988,1790,75
2021-09-14,19043,Clayton,8538,1944,1730,58
2021-09-14,19121,Madison,9293,1938,1761,20
2021-09-14,19023,Butler,8200,1888,1757,36
2021-09-14,19067,Floyd,9070,1877,1658,42
2021-09-14,19129,Mills,8668,1852,1699,24
2021-09-14,19157,Poweshiek,10395,1810,1615,36
2021-09-14,19035,Cherokee,6908,1794,1618,40
2021-09-14,19095,Iowa,9567,1764,1546,25
2021-09-14,19005,Allamakee,7325,1762,1559,52
2021-09-14,19119,Lyon,5497,1744,1597,41
2021-09-14,19101,Jefferson,10207,1691,1432,38
2021-09-14,19025,Calhoun,6214,1683,1466,13
2021-09-14,19081,Hancock,7121,1673,1539,35
2021-09-14,19189,Winnebago,7347,1642,1489,31
2021-09-14,19075,Grundy,6689,1588,1407,35
2021-09-14,19029,Cass,7236,1555,1397,56
2021-09-14,19115,Louisa,6506,1549,1329,49
2021-09-14,19165,Shelby,6369,1517,1348,39
2021-09-14,19007,Appanoose,7224,1512,1271,49
2021-09-14,19063,Emmet,5918,1495,1338,41
2021-09-14,19069,Franklin,6563,1485,1333,24
2021-09-14,19091,Humboldt,5544,1472,1282,26
2021-09-14,19161,Sac,6157,1447,1348,22
2021-09-14,19175,Union,7505,1442,1282,37
2021-09-14,19131,Mitchell,6212,1416,1266,43
2021-09-14,19077,Guthrie,6806,1381,1259,32
2021-09-14,19037,Chickasaw,6384,1375,1295,18
2021-09-14,19147,Palo Alto,5198,1311,1151,24
2021-09-14,19039,Clarke,5810,1250,1062,24
2021-09-14,19137,Montgomery,5066,1222,1038,39
2021-09-14,19107,Keokuk,5173,1162,1007,32
2021-09-14,19089,Howard,5350,1156,1054,22
2021-09-14,19135,Monroe,4196,1140,1015,33
2021-09-14,19093,Ida,3965,1075,950,38
2021-09-14,19051,Davis,4245,1031,905,25
2021-09-14,19151,Pocahontas,3989,990,865,23
2021-09-14,19073,Greene,4892,980,813,12
2021-09-14,19001,Adair,4133,953,882,34
2021-09-14,19133,Monona,4258,947,862,33
2021-09-14,19117,Lucas,4645,945,803,23
2021-09-14,19195,Worth,4566,926,796,8
2021-09-14,19143,Osceola,2869,837,797,17
2021-09-14,19053,Decatur,4128,745,687,10
2021-09-14,19071,Fremont,3223,741,674,11
2021-09-14,19173,Taylor,2919,724,674,12
2021-09-14,19177,Van Buren,3369,709,590,19
2021-09-14,19185,Wayne,3034,651,559,23
2021-09-14,19159,Ringgold,2729,622,573,26
2021-09-14,19009,Audubon,3130,584,536,14
2021-09-14,19003,Adams,1845,391,364,4
2021-09-14,NA,Pending Investigation,2921,19,6,0
