date,fips,county,tests,cases,recovered,deaths
2021-08-12,19153,Polk,309078,60508,58105,649
2021-08-12,19113,Linn,131410,22177,21054,344
2021-08-12,19163,Scott,97957,20946,20156,251
2021-08-12,19013,Black Hawk,78677,17408,16232,320
2021-08-12,19193,Woodbury,65881,15687,15064,231
2021-08-12,19103,Johnson,90982,15066,14596,86
2021-08-12,19061,Dubuque,62550,13763,13355,215
2021-08-12,19049,Dallas,60461,11743,11287,100
2021-08-12,19155,Pottawattamie,52102,11705,11109,178
2021-08-12,19169,Story,61136,11130,10724,48
2021-08-12,19181,Warren,31186,6072,5819,92
2021-08-12,19033,Cerro Gordo,27931,5779,5514,98
2021-08-12,19045,Clinton,25865,5722,5543,94
2021-08-12,19187,Webster,23338,5676,5207,100
2021-08-12,19167,Sioux,17497,5233,5120,74
2021-08-12,19139,Muscatine,23964,5062,4802,106
2021-08-12,19057,Des Moines,23814,5045,4698,78
2021-08-12,19127,Marshall,23685,5035,4838,79
2021-08-12,19099,Jasper,20596,4655,4443,73
2021-08-12,19179,Wapello,20603,4486,4237,124
2021-08-12,19021,Buena Vista,15986,4370,4258,40
2021-08-12,19111,Lee,18281,4321,3844,59
2021-08-12,19149,Plymouth,14270,4087,3966,82
2021-08-12,19125,Marion,18053,3864,3608,78
2021-08-12,19087,Henry,12237,3099,2966,37
2021-08-12,19105,Jones,11045,3057,2956,57
2021-08-12,19017,Bremer,13525,2992,2855,63
2021-08-12,19027,Carroll,12289,2904,2811,52
2021-08-12,19047,Crawford,9561,2830,2660,43
2021-08-12,19015,Boone,15361,2808,2665,35
2021-08-12,19011,Benton,14261,2690,2568,55
2021-08-12,19183,Washington,13239,2675,2554,51
2021-08-12,19059,Dickinson,11339,2532,2461,46
2021-08-12,19123,Mahaska,11704,2401,2256,51
2021-08-12,19097,Jackson,10156,2288,2220,43
2021-08-12,19109,Kossuth,8776,2269,2119,67
2021-08-12,19041,Clay,9194,2193,2148,27
2021-08-12,19055,Delaware,8962,2188,2067,43
2021-08-12,19171,Tama,9268,2163,2059,72
2021-08-12,19019,Buchanan,10486,2039,1921,35
2021-08-12,19141,O'Brien,7193,2029,1948,61
2021-08-12,19191,Winneshiek,11406,2025,1967,37
2021-08-12,19083,Hardin,9547,1995,1851,44
2021-08-12,19145,Page,6957,1978,1934,22
2021-08-12,19031,Cedar,10100,1973,1903,23
2021-08-12,19197,Wright,8552,1957,1845,40
2021-08-12,19065,Fayette,10308,1949,1837,43
2021-08-12,19079,Hamilton,8484,1947,1800,51
2021-08-12,19085,Harrison,7023,1857,1741,74
2021-08-12,19043,Clayton,8029,1762,1675,58
2021-08-12,19023,Butler,7810,1756,1633,36
2021-08-12,19121,Madison,8775,1738,1656,19
2021-08-12,19129,Mills,8215,1686,1613,24
2021-08-12,19067,Floyd,8643,1682,1606,42
2021-08-12,19035,Cherokee,6522,1650,1573,39
2021-08-12,19119,Lyon,5220,1618,1573,41
2021-08-12,19157,Poweshiek,9746,1614,1561,36
2021-08-12,19005,Allamakee,6950,1591,1502,52
2021-08-12,19081,Hancock,6784,1570,1489,34
2021-08-12,19095,Iowa,8963,1541,1458,24
2021-08-12,19189,Winnebago,7010,1496,1425,31
2021-08-12,19025,Calhoun,5836,1471,1407,13
2021-08-12,19029,Cass,6915,1439,1350,55
2021-08-12,19075,Grundy,6319,1428,1357,34
2021-08-12,19101,Jefferson,9080,1417,1315,35
2021-08-12,19063,Emmet,5651,1381,1323,41
2021-08-12,19165,Shelby,6004,1356,1284,38
2021-08-12,19115,Louisa,6019,1354,1258,49
2021-08-12,19161,Sac,5865,1353,1308,20
2021-08-12,19069,Franklin,6180,1339,1240,23
2021-08-12,19007,Appanoose,6719,1316,1227,49
2021-08-12,19175,Union,7193,1306,1267,35
2021-08-12,19091,Humboldt,5231,1293,1204,26
2021-08-12,19037,Chickasaw,6076,1291,1243,17
2021-08-12,19131,Mitchell,5933,1285,1240,43
2021-08-12,19077,Guthrie,6436,1275,1216,32
2021-08-12,19147,Palo Alto,4913,1167,1122,24
2021-08-12,19137,Montgomery,4687,1075,1022,38
2021-08-12,19089,Howard,5093,1068,1032,22
2021-08-12,19039,Clarke,5434,1064,997,24
2021-08-12,19135,Monroe,3978,1034,954,33
2021-08-12,19107,Keokuk,4782,1017,969,32
2021-08-12,19093,Ida,3735,981,885,35
2021-08-12,19001,Adair,3965,911,856,32
2021-08-12,19051,Davis,3997,903,833,25
2021-08-12,19151,Pocahontas,3752,879,849,22
2021-08-12,19133,Monona,4118,877,831,32
2021-08-12,19117,Lucas,4355,816,752,23
2021-08-12,19073,Greene,4577,814,778,11
2021-08-12,19143,Osceola,2758,804,776,17
2021-08-12,19195,Worth,4283,789,749,8
2021-08-12,19053,Decatur,3951,683,651,10
2021-08-12,19173,Taylor,2773,676,659,12
2021-08-12,19071,Fremont,2997,667,642,10
2021-08-12,19177,Van Buren,3098,593,551,18
2021-08-12,19159,Ringgold,2627,575,544,24
2021-08-12,19185,Wayne,2853,574,538,23
2021-08-12,19009,Audubon,3000,543,515,14
2021-08-12,19003,Adams,1757,362,343,4
2021-08-12,NA,Pending Investigation,2726,15,5,0
